,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro
0,LapEigen,GCN,Cornell,0.6201550387596899,0.5833333333333334,0.3352997285200675,0.3011111111111111
1,LapEigen,GAT,Cornell,0.627906976744186,0.5277777777777778,0.3357056736367081,0.1727272727272727
2,LapEigen,SAGE,Cornell,0.6124031007751938,0.5833333333333334,0.3517817014446227,0.3166208791208791
3,LapEigen,GCN,Texas,0.7596899224806202,0.5555555555555556,0.6857643870556352,0.300556586270872
4,LapEigen,GAT,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
5,LapEigen,SAGE,Texas,0.7054263565891473,0.5555555555555556,0.4322215074420367,0.2541208791208791
6,LapEigen,GCN,Wisconsin,0.5909090909090909,0.48,0.32801937942559,0.2192164179104477
7,LapEigen,GAT,Wisconsin,0.6193181818181818,0.52,0.3945210727969348,0.2647385984427141
8,LapEigen,SAGE,Wisconsin,0.6306818181818182,0.68,0.4213376549076346,0.4890552995391705
9,LapEigen,GCN,Actor,0.348994549896636,0.3008558262014483,0.3007941590766474,0.2555915389456427
10,LapEigen,GAT,Actor,0.3429806427363278,0.2969058591178407,0.2872421970645289,0.2454337956888437
11,LapEigen,SAGE,Actor,0.3553843262544634,0.3377221856484529,0.3100823759220967,0.2855373026593419
12,LapEigen,GCN,Pubmed,0.5970873786407767,0.5828049708343901,0.5408099047469852,0.5345697347559791
13,LapEigen,GAT,Pubmed,0.7637298942182292,0.7486685265026629,0.7530583040006679,0.7408838510793511
14,LINE,GCN,Cornell,0.5503875968992248,0.4722222222222222,0.1691246684350132,0.160377358490566
15,LINE,GAT,Cornell,0.5658914728682171,0.4722222222222222,0.1837873976266087,0.160377358490566
16,LINE,SAGE,Cornell,0.8139534883720931,0.6388888888888888,0.7524819803852061,0.4712512664640323
17,LINE,GCN,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
18,LINE,GAT,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
19,LINE,SAGE,Texas,0.9224806201550388,0.7222222222222222,0.7289850020203301,0.5631484794275492
20,LINE,GCN,Wisconsin,0.4829545454545454,0.5,0.1302681992337165,0.1666666666666666
21,LINE,GAT,Wisconsin,0.4829545454545454,0.5,0.1517753677016788,0.1666666666666666
22,LINE,SAGE,Wisconsin,0.8465909090909091,0.8000000000000002,0.7211070317453296,0.6263616557734205
23,LINE,GCN,Actor,0.356136064649502,0.2969058591178407,0.3177098671298394,0.2632406618925961
24,LINE,GAT,Actor,0.3230595752678068,0.2916392363396972,0.2637121457193011,0.2356087761443238
25,LINE,SAGE,Actor,0.3760571321180229,0.3212639894667544,0.346583457333014,0.2927356339126191
26,GraphFactorization,GCN,Cornell,0.6046511627906976,0.5,0.5202176941832114,0.238095238095238
27,GraphFactorization,GAT,Cornell,0.6434108527131783,0.5,0.3972863192463918,0.2259615384615384
28,GraphFactorization,SAGE,Cornell,0.5736434108527132,0.5277777777777778,0.2584375114030287,0.1727272727272727
29,GraphFactorization,GCN,Texas,0.7364341085271318,0.5833333333333334,0.5119664570230608,0.3809523809523809
30,GraphFactorization,GAT,Texas,0.6744186046511628,0.6388888888888888,0.3971719095225888,0.4706521739130435
31,GraphFactorization,SAGE,Texas,0.6046511627906976,0.5277777777777778,0.2565295169946332,0.2568027210884354
32,GraphFactorization,GCN,Wisconsin,0.7045454545454546,0.6,0.5933480382242896,0.2782407407407407
33,GraphFactorization,GAT,Wisconsin,0.6988636363636364,0.62,0.602732830067683,0.398799826219181
34,GraphFactorization,SAGE,Wisconsin,0.715909090909091,0.64,0.6549288285990552,0.3818181818181818
35,GraphFactorization,GCN,Actor,0.3508738958842323,0.2857142857142857,0.3121588832815348,0.2542832864450174
36,GraphFactorization,GAT,Actor,0.3572636722420597,0.3159973666886109,0.3183377246691791,0.2859826426456424
37,GraphFactorization,SAGE,Actor,0.3798158240932155,0.3699802501645819,0.3385683864905704,0.3321580534720526
38,LapEigen,GCN,squirrel,0.298269706124691,0.1875,0.2890093318582873,0.1757106480904097
39,LapEigen,GAT,squirrel,0.3861576489975281,0.2230769230769231,0.3846713444423829,0.2217453172250736
40,LapEigen,SAGE,squirrel,0.3732491073880802,0.2740384615384615,0.3639930577858687,0.266935008288092
41,LINE,GCN,squirrel,0.3460587750617962,0.2317307692307692,0.3312185985716808,0.2171284198018113
42,LINE,GAT,squirrel,0.2716286734413622,0.2173076923076923,0.2683595570921415,0.1950690974874679
43,LINE,SAGE,squirrel,0.3488052732765723,0.2605769230769231,0.3164638903092823,0.2027934502264591
44,GraphFactorization,GCN,squirrel,0.3496292227410052,0.2413461538461538,0.347909039132617,0.2400444672717434
45,GraphFactorization,GAT,squirrel,0.3606152156001098,0.2576923076923076,0.3573924723933751,0.2452376779628465
46,GraphFactorization,SAGE,squirrel,0.366932161494095,0.25,0.3247180259671799,0.1831916200579013
47,HOPE_CN,GCN,squirrel,0.3320516341664378,0.2163461538461538,0.323223483518232,0.2073147067227141
48,HOPE_AA,GCN,squirrel,0.2845372150508102,0.2192307692307692,0.2703970008239499,0.209607569913916
49,HOPE_AA,GAT,squirrel,0.3430376270255424,0.2644230769230769,0.3429856948126329,0.2545381829731587
50,HOPE_AA,SAGE,squirrel,0.3271079373798407,0.248076923076923,0.2542337763099077,0.1567990076992557
51,HOPE_RPR,GCN,squirrel,0.3139247459489151,0.2365384615384615,0.3129285043626976,0.2339284802106455
52,HOPE_Katz,GCN,squirrel,0.3136500961274375,0.2086538461538461,0.2925517943150475,0.1909962438997852
53,HOPE_CN,GAT,squirrel,0.338368580060423,0.2182692307692307,0.3372818311372191,0.2104353362938393
54,HOPE_CN,SAGE,squirrel,0.397692941499588,0.2442307692307692,0.3860416423018441,0.2233897806059014
55,HOPE_RPR,GAT,squirrel,0.3751716561384235,0.2682692307692307,0.3758347751241184,0.2637212859809233
56,HOPE_RPR,SAGE,squirrel,0.3353474320241691,0.25,0.2773446008702157,0.1865205562220539
57,HOPE_Katz,SAGE,squirrel,0.3353474320241691,0.2230769230769231,0.319710457199194,0.1672600449329902
58,VERSE_PPR,GCN,squirrel,0.3413897280966767,0.2240384615384615,0.3410075479871532,0.2236330450594349
59,VERSE_Adj,GCN,squirrel,0.3422136775611096,0.2346153846153846,0.3408921956965641,0.2327268191045281
60,VERSE_Adj,GAT,squirrel,0.3416643779181543,0.2144230769230769,0.3407011152490392,0.2120009848118068
61,VERSE_Adj,SAGE,squirrel,0.3641856632793189,0.2509615384615384,0.3300153892880635,0.1846880244456922
62,VERSE_Adj,GCN,Cornell,0.5581395348837209,0.5,0.1878079710144927,0.1666666666666666
63,VERSE_Adj,GAT,Cornell,0.6201550387596899,0.4166666666666667,0.2985552865213882,0.15625
64,VERSE_Adj,SAGE,Cornell,0.8682170542635659,0.6388888888888888,0.6809314954051795,0.4786255411255411
65,VERSE_Adj,GCN,Texas,0.6589147286821705,0.5555555555555556,0.3324577711144428,0.2789855072463768
66,VERSE_Adj,GAT,Texas,0.6744186046511628,0.5555555555555556,0.3713464696223316,0.2930555555555555
67,VERSE_Adj,SAGE,Texas,0.6821705426356589,0.5833333333333334,0.3781364775340679,0.3086734693877551
68,VERSE_Adj,GCN,Wisconsin,0.5681818181818182,0.54,0.3476299260013037,0.3002645502645502
69,VERSE_Adj,GAT,Wisconsin,0.6647727272727273,0.72,0.4850952207539246,0.3814241486068111
70,VERSE_Adj,SAGE,Wisconsin,0.8920454545454546,0.88,0.8296703296703296,0.7962121212121211
71,VERSE_Adj,GCN,Actor,0.339785754557414,0.2922975641869651,0.2940536065232813,0.2466593277499988
72,VERSE_Adj,GAT,Actor,0.3414771659462507,0.3120473996050033,0.2875063763708071,0.2621225638100301
73,VERSE_Adj,SAGE,Actor,0.3920315730125915,0.3469387755102041,0.3609008656190297,0.3122362386579668
74,VERSE_PPR,GCN,Cornell,0.6046511627906976,0.4722222222222222,0.3178409825468649,0.2188208616780045
75,VERSE_PPR,GAT,Cornell,0.5891472868217055,0.4722222222222222,0.2527723235156615,0.160377358490566
76,VERSE_PPR,SAGE,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
77,VERSE_PPR,GCN,Texas,0.689922480620155,0.6666666666666666,0.557387518142235,0.3850931677018633
78,VERSE_PPR,GAT,Texas,0.5581395348837209,0.5,0.2050933786078098,0.1666666666666666
79,VERSE_PPR,SAGE,Texas,0.7131782945736435,0.6111111111111112,0.452075459813555,0.3302411873840445
80,VERSE_PPR,GCN,Wisconsin,0.5965909090909091,0.58,0.4317158014399394,0.2564102564102564
81,VERSE_PPR,GAT,Wisconsin,0.6193181818181818,0.68,0.3698829323346843,0.3732142857142857
82,VERSE_PPR,SAGE,Wisconsin,0.8579545454545454,0.88,0.8166820348554096,0.7036878216123499
83,VERSE_PPR,GAT,squirrel,0.3685800604229606,0.1990384615384615,0.3659177387336824,0.1891907925546814
84,VERSE_PPR,SAGE,squirrel,0.3317769843449601,0.2413461538461538,0.2705138123516549,0.1694966575776233
85,DeepWalk,GCN,squirrel,0.3493545729195276,0.2336538461538461,0.344053622448903,0.2265437734278708
86,APP,GCN,Actor,0.2988160120278143,0.2699144173798551,0.1937615991455209,0.1782694209265677
87,APP,GAT,Actor,0.3206164254839316,0.2817643186306781,0.2393221044717862,0.2165046668491973
88,APP,SAGE,Actor,0.3839503852659274,0.3390388413429888,0.3504375630185146,0.3016964995697578
89,VERSE_SR,GCN,Texas,0.751937984496124,0.6111111111111112,0.7031621797283891,0.309090909090909
90,VERSE_SR,GAT,Texas,0.6124031007751938,0.5277777777777778,0.3234871794871795,0.1759259259259259
91,VERSE_SR,SAGE,Texas,0.8527131782945736,0.6666666666666666,0.6596954571302205,0.432224025974026
92,HOPE_CN,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
93,HOPE_CN,GAT,Cornell,0.6046511627906976,0.4444444444444444,0.3311467808097021,0.1599999999999999
94,HOPE_CN,SAGE,Cornell,0.6434108527131783,0.6388888888888888,0.5713628899835796,0.3605442176870748
95,HOPE_CN,GCN,Texas,0.627906976744186,0.6388888888888888,0.3638475273150195,0.4456521739130434
96,HOPE_CN,GAT,Texas,0.6434108527131783,0.6388888888888888,0.38080452690979,0.4809565434565434
97,HOPE_CN,SAGE,Texas,0.7209302325581395,0.6388888888888888,0.5031805020199748,0.5254790940766552
98,HOPE_CN,GCN,Wisconsin,0.6022727272727273,0.58,0.396304023616302,0.3100621820237422
99,HOPE_CN,GAT,Wisconsin,0.5568181818181818,0.7,0.3418336001897645,0.4349137931034482
100,HOPE_CN,SAGE,Wisconsin,0.7727272727272727,0.76,0.5652909253419229,0.4249999999999999
101,HOPE_CN,GCN,Actor,0.3347115203909039,0.271889400921659,0.2989247632753135,0.2391483028534197
102,HOPE_CN,GAT,Actor,0.3474910731065589,0.3080974325213956,0.2952766505839846,0.2635371797633193
103,HOPE_CN,SAGE,Actor,0.3909039654200338,0.3285055957867018,0.3638384297909124,0.3066611491099189
104,HOPE_AA,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
105,HOPE_AA,GAT,Cornell,0.5581395348837209,0.4166666666666667,0.2274594769159987,0.15
106,HOPE_AA,SAGE,Cornell,0.6356589147286822,0.5277777777777778,0.3526984126984127,0.1759259259259259
107,HOPE_AA,GCN,Texas,0.6511627906976745,0.5555555555555556,0.3689475987791946,0.2541208791208791
108,HOPE_AA,GAT,Texas,0.5968992248062015,0.4722222222222222,0.3028927875243664,0.2754287056612637
109,HOPE_AA,SAGE,Texas,0.6124031007751938,0.5277777777777778,0.2629151495089926,0.2568027210884354
110,HOPE_AA,GCN,Wisconsin,0.5511363636363636,0.54,0.3136184251532596,0.2692307692307693
111,HOPE_AA,GAT,Wisconsin,0.5227272727272727,0.5,0.2433333333333333,0.2241791044776119
112,HOPE_AA,SAGE,Wisconsin,0.6306818181818182,0.64,0.4163809523809524,0.3352272727272727
113,HOPE_AA,GCN,Actor,0.3367788009772599,0.292955892034233,0.2802839018601575,0.2413000890552092
114,HOPE_AA,GAT,Actor,0.3523773726743093,0.2699144173798551,0.304459813673141,0.2308798432956593
115,HOPE_AA,SAGE,Actor,0.3747415899267055,0.3561553653719552,0.3255235703875747,0.3107044850469307
116,HOPE_RPR,GCN,Cornell,0.8139534883720931,0.6111111111111112,0.8023062558356676,0.4478571428571428
117,HOPE_RPR,GAT,Cornell,0.7674418604651162,0.6111111111111112,0.5613261093911249,0.4035364145658263
118,HOPE_RPR,SAGE,Cornell,0.9069767441860463,0.6111111111111112,0.7103919372900337,0.3529411764705882
119,HOPE_RPR,GCN,Texas,0.7364341085271318,0.6944444444444444,0.4768745973531628,0.5282467532467533
120,HOPE_RPR,GAT,Texas,0.8682170542635659,0.5555555555555556,0.8043130904183535,0.3
121,HOPE_RPR,SAGE,Texas,0.9844961240310076,0.75,0.7923050498110615,0.6158730158730159
122,HOPE_RPR,GCN,Wisconsin,0.7102272727272727,0.6,0.67,0.3123157894736842
123,HOPE_RPR,GAT,Wisconsin,0.5454545454545454,0.5,0.3143439500608284,0.2448717948717949
124,HOPE_RPR,SAGE,Wisconsin,0.9715909090909092,0.88,0.9670146842350912,0.7676082761578044
125,HOPE_RPR,GCN,Actor,0.3583912798346176,0.3015141540487163,0.3177729779355892,0.2652246474964184
126,HOPE_RPR,GAT,Actor,0.3574516068408194,0.293614219881501,0.3216753422659096,0.2617175108341147
127,HOPE_RPR,SAGE,Actor,0.3760571321180229,0.336405529953917,0.3364285883961002,0.2921786111008762
128,HOPE_Katz,GCN,Cornell,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.1727272727272727
129,HOPE_Katz,GAT,Cornell,0.5426356589147286,0.5277777777777778,0.1551020408163265,0.1727272727272727
130,HOPE_Katz,SAGE,Cornell,0.5658914728682171,0.5277777777777778,0.2329545454545454,0.1759259259259259
131,HOPE_Katz,GCN,Texas,0.5426356589147286,0.5277777777777778,0.1407035175879397,0.3290043290043289
132,HOPE_Katz,GAT,Texas,0.5891472868217055,0.5277777777777778,0.2276160990712074,0.1727272727272727
133,HOPE_Katz,SAGE,Texas,0.7209302325581395,0.6944444444444444,0.4469738622457823,0.6004794663331249
